Timestamp,Temperature,Vibration,Current,Voltage,RPM,Sound
2026-01-01T00:00:00Z,42.1,0.11,4.2,230.1,1490,60.2
2026-01-01T01:00:00Z,42.3,0.12,4.3,229.8,1488,60.5
2026-01-01T02:00:00Z,42.5,0.11,4.2,230.4,1492,60.1
2026-01-01T03:00:00Z,42.8,0.13,4.4,230.0,1485,61.0
2026-01-01T04:00:00Z,43.1,0.12,4.3,229.5,1489,60.8
2026-01-01T05:00:00Z,43.4,0.14,4.5,230.2,1482,61.3
2026-01-01T06:00:00Z,43.9,0.13,4.6,229.9,1487,61.5
2026-01-01T07:00:00Z,44.2,0.15,4.5,230.1,1484,61.9
2026-01-01T08:00:00Z,44.7,0.14,4.7,229.7,1488,62.1
2026-01-01T09:00:00Z,45.1,0.16,4.8,230.3,1481,62.5
2026-01-01T10:00:00Z,45.6,0.15,4.7,230.0,1485,62.3
2026-01-01T11:00:00Z,46.0,0.17,4.9,229.6,1479,62.8
2026-01-01T12:00:00Z,46.5,0.16,5.0,230.2,1483,63.0
2026-01-01T13:00:00Z,47.1,0.18,5.1,229.8,1478,63.4
2026-01-01T14:00:00Z,47.6,0.17,5.0,230.1,1482,63.2
2026-01-01T15:00:00Z,48.2,0.19,5.2,229.7,1476,63.7
2026-01-01T16:00:00Z,48.8,0.18,5.3,230.4,1480,63.9
2026-01-01T17:00:00Z,49.4,0.20,5.4,229.9,1475,64.2
2026-01-01T18:00:00Z,50.1,0.21,5.5,230.1,1473,64.6
2026-01-01T19:00:00Z,50.8,0.20,5.6,229.5,1477,64.9
2026-01-01T20:00:00Z,51.5,0.22,5.7,230.2,1471,65.3
2026-01-01T21:00:00Z,52.2,0.23,5.8,229.8,1474,65.7
2026-01-01T22:00:00Z,53.0,0.22,5.9,230.0,1470,66.0
2026-01-01T23:00:00Z,53.8,0.24,6.0,229.6,1472,66.4
2026-01-02T00:00:00Z,54.6,0.25,6.1,230.3,1468,66.8
2026-01-02T01:00:00Z,55.5,0.27,6.3,229.7,1465,67.3
2026-01-02T02:00:00Z,56.4,0.28,6.4,230.1,1463,67.7
2026-01-02T03:00:00Z,57.3,0.30,6.6,229.9,1460,68.2
2026-01-02T04:00:00Z,58.2,0.31,6.7,230.2,1458,68.7
2026-01-02T05:00:00Z,59.1,0.33,6.9,229.5,1455,69.2
2026-01-02T06:00:00Z,60.1,0.35,7.1,230.0,1452,69.8
2026-01-02T07:00:00Z,61.2,0.37,7.3,229.8,1448,70.3
2026-01-02T08:00:00Z,62.3,0.40,7.5,230.1,1445,71.0
2026-01-02T09:00:00Z,63.5,0.43,7.8,229.4,1441,71.7
2026-01-02T10:00:00Z,64.8,0.46,8.1,230.3,1437,72.4
2026-01-02T11:00:00Z,66.1,0.50,8.4,229.7,1433,73.2
2026-01-02T12:00:00Z,67.5,0.54,8.8,230.0,1428,74.0
2026-01-02T13:00:00Z,69.0,0.58,9.2,229.5,1423,74.9
2026-01-02T14:00:00Z,70.5,0.63,9.6,230.2,1418,75.8
2026-01-02T15:00:00Z,72.1,0.68,10.0,229.8,1412,76.7
